0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:20 -0700] "GET /Intern-Tracking//ckeditor_4.6.1_basic/skins/moono-lisa/icons.png?t=580bcaf HTTP/1.1" 200 3444
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:27 -0700] "POST /Intern-Tracking//mygroupdata1 HTTP/1.1" 404 1195
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:37 -0700] "GET /Intern-Tracking//ViewTaskOfPjt.action HTTP/1.1" 404 1197
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:43 -0700] "GET /Intern-Tracking//createExam.jsp HTTP/1.1" 200 7232
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:43 -0700] "GET /Intern-Tracking//validation/css/reset.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:43 -0700] "GET /Intern-Tracking//validation/css/core.css HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:43 -0700] "GET /Intern-Tracking//validation/css/cmxformTemplate.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:43 -0700] "GET /Intern-Tracking//validation/css/cmxform.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:43 -0700] "GET /Intern-Tracking//validation/js/jquery-1.11.1.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:46 -0700] "GET /Intern-Tracking//ViewExam.action HTTP/1.1" 200 6685
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:50 -0700] "GET /Intern-Tracking//viewResult.action?exam_id=21 HTTP/1.1" 404 1191
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:55 -0700] "GET /Intern-Tracking//AddnewQuestion.action?exam_id=6 HTTP/1.1" 200 11627
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:55 -0700] "GET /ckeditor/ckeditor.js?t=B37D54V HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:55 -0700] "GET /Intern-Tracking//validation/css/reset.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:55 -0700] "GET /Intern-Tracking//validation/css/core.css HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:55 -0700] "GET /Intern-Tracking//validation/css/cmxformTemplate.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:55 -0700] "GET /Intern-Tracking//validation/css/cmxform.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:55 -0700] "GET /Intern-Tracking//validation/js/jquery-1.11.1.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:04:55 -0700] "GET /ckeditor/ckeditor.js?t=B37D54V HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:05:02 -0700] "GET /Intern-Tracking//checkPrevious.action?exam_id=6 HTTP/1.1" 200 11627
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:05:02 -0700] "GET /ckeditor/ckeditor.js?t=B37D54V HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:05:02 -0700] "GET /Intern-Tracking//validation/css/core.css HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:05:02 -0700] "GET /Intern-Tracking//validation/css/reset.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:05:02 -0700] "GET /Intern-Tracking//validation/css/cmxformTemplate.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:05:02 -0700] "GET /Intern-Tracking//validation/css/cmxform.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:05:02 -0700] "GET /Intern-Tracking//validation/js/jquery-1.11.1.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:05:02 -0700] "GET /ckeditor/ckeditor.js?t=B37D54V HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:05:18 -0700] "GET /Intern-Tracking//viewAddedQuestion.action HTTP/1.1" 200 15348
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:05:29 -0700] "GET /Intern-Tracking//ProjectChangepwd.action?id= HTTP/1.1" 200 5057
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:05:29 -0700] "GET /Intern-Tracking//validation/css/reset.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:05:29 -0700] "GET /Intern-Tracking//validation/css/core.css HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:05:29 -0700] "GET /Intern-Tracking//validation/css/cmxformTemplate.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:05:29 -0700] "GET /Intern-Tracking//validation/css/cmxform.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:05:29 -0700] "GET /Intern-Tracking//validation/js/jquery-1.11.1.js HTTP/1.1" 404 1045
